dcterms:title,dcterms:spatial,dcterms:date,art:url
FN-37D,"40.7128, 74.0060",1863,https://scalar.usc.edu/works/decoding-diaspora/media/FN-37D.jpg
FN-38A,"39.649391, -76.700983",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-38A.jpg
FN-38D,"14.599512, 120.984222",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-38D.jpg
FN-38C,"-25.925386, 27.767382",25000 - 50000BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-38C.jpg
FN-39A,"33.836082,  -81.163727",1900,https://scalar.usc.edu/works/decoding-diaspora/media/FN-39A.jpg
FN-39D,"30.39183,  -92.329102",1844 - 1913,https://scalar.usc.edu/works/decoding-diaspora/media/FN-39D.jpg
FN-39C," 36.174465, -86.767959",1850,https://scalar.usc.edu/works/decoding-diaspora/media/FN-39C.jpg
FN-40A,"23.113592, -82.366592",1927,https://scalar.usc.edu/works/decoding-diaspora/media/FN-40A.jpg
FN-40C,"38.900497,-77.007507",1830,https://scalar.usc.edu/works/decoding-diaspora/media/FN-40C.jpg
FN-40D,"30.001667, -90.092781",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-40D.jpg
FN-41A,"52.520008,13.404954",1858 - 1925,https://scalar.usc.edu/works/decoding-diaspora/media/FN-41A.jpg
FN-41C,"48.858093,  2.294692",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-41C.jpg
FN-41D,"33.748783,-84.388167",1892,https://scalar.usc.edu/works/decoding-diaspora/media/FN-41D.jpg
FN-42A," -26.20227,  28.04363",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-42A.jpg
FN-42C,"40.696011, -73.993286",1861,https://scalar.usc.edu/works/decoding-diaspora/media/FN-42C.jpg
FN-42D,"40.7128, 74.0062",1959,https://scalar.usc.edu/works/decoding-diaspora/media/FN-42D.jpg
FN-43A,"31.898043, 35.204269",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-43A.jpg
FN-43C,"38.192902, -84.883942",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-43C.jpg
FN-43D,"38.900497,-77.007507",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-43D.jpg
FN-44A,"34.767597, -89.448689",1848,https://scalar.usc.edu/works/decoding-diaspora/media/FN-44A.jpg
FN-44B," 39.799999, -89.650002",01-1862,https://scalar.usc.edu/works/decoding-diaspora/media/FN-44B.jpg
FN-44D,,300,https://scalar.usc.edu/works/decoding-diaspora/media/FN-44D.jpg
FN-45A,"6.465422, 3.406448",800 - 1300AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-45A.jpg
FN-45D,,1925,https://scalar.usc.edu/works/decoding-diaspora/media/FN-45D.jpg
FN-45C," 37.541290, -77.434769",1806 - 1863,https://scalar.usc.edu/works/decoding-diaspora/media/FN-45C.jpg
FN-46A," -0.755775, 33.438353",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-46A.jpg
FN-46C,"42.361145, -71.057083",1861 - 1865,https://scalar.usc.edu/works/decoding-diaspora/media/FN-46C.jpg
FN-46D,"40.7128, 74.0060",1884,https://scalar.usc.edu/works/decoding-diaspora/media/FN-46D.jpg
FN-47A,"19.8078, -96.9160",100AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-47A.jpg
FN-47C,"12.136389, -86.251389",1870,https://scalar.usc.edu/works/decoding-diaspora/media/FN-47C.jpg
FN-48A,"41.89193, 12.51133.",1896,https://scalar.usc.edu/works/decoding-diaspora/media/FN-48A.jpg
FN-48C," -18.816667, 31.95",1903,https://scalar.usc.edu/works/decoding-diaspora/media/FN-48C.jpg
FN-48D,"33.510414, 36.278336",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-48D.jpg
FN-49A,"41.093842, -85.139236",07-18-1863,https://scalar.usc.edu/works/decoding-diaspora/media/FN-49A.jpg
FN-49C,"42.361145, -71.057083",1786,https://scalar.usc.edu/works/decoding-diaspora/media/FN-49C.jpg
FN-49D,"38.7995, -78.4614",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-49D.jpg
FN-50A,"42.055984, 	-87.675171",1954,https://scalar.usc.edu/works/decoding-diaspora/media/FN-50A.jpg
FN-50D,"48.858093,  2.294694",1910-1920,https://scalar.usc.edu/works/decoding-diaspora/media/FN-50D.jpg
FN-50C,"38.978443, -76.492180",1633,https://scalar.usc.edu/works/decoding-diaspora/media/FN-50C.jpg
FN-51A,"	36.779591, -76.288376",1844,https://scalar.usc.edu/works/decoding-diaspora/media/FN-51A.jpg
FN-51C,"51.507359,  -0.136439",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-51C.jpg
FN-51D,"50.134664, -0.357056",18497,https://scalar.usc.edu/works/decoding-diaspora/media/FN-51D.jpg
FN-52A,"42.361145, -71.057083",1863,https://scalar.usc.edu/works/decoding-diaspora/media/FN-52A.jpg
FN-52C,"21.42664, 39.82563",600AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-52C.jpg
FN-52D," 37.541290, -77.434769",1526,https://scalar.usc.edu/works/decoding-diaspora/media/FN-52D.jpg
FN-53A," 42.3544 , -83.0687",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-53A.jpg
FN-53C,,1915,https://scalar.usc.edu/works/decoding-diaspora/media/FN-53C.jpg
FN-53D,"35.117500, -89.971107",1856,https://scalar.usc.edu/works/decoding-diaspora/media/FN-53D.jpg
FN-54A,"40.73566,  -74.17237",1821 - 1902,https://scalar.usc.edu/works/decoding-diaspora/media/FN-54A.jpg
FN-54C,"9.30769, 2.315834",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-54C.jpg
FN-54D,,1351BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-54D.jpg
FN-55A," -23.533773, -46.625290",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-55A.jpg
FN-55C,"42.361145, -71.057083",1703,https://scalar.usc.edu/works/decoding-diaspora/media/FN-55C.jpg
FN-55D,"30.033333, 31.233334",4000BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-55D.jpg
FN-56A,"7.376736,  3.939786",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-56A.jpg
FN-56C,,1922,https://scalar.usc.edu/works/decoding-diaspora/media/FN-56C.jpg
FN-56D,,1732 - 1786,https://scalar.usc.edu/works/decoding-diaspora/media/FN-56D.jpg
FN-57A,"32.429066, 	-85.715233",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-57A.jpg
FN-57C,"	29.378586, 	47.990341",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-57C.jpg
FN-57D,"32.779167, -96.808891",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-57D.jpg
FN-58A,"33.753746, -84.386330",1855,https://scalar.usc.edu/works/decoding-diaspora/media/FN-58A.jpg
FN-58D,"33.753746, -84.386330",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-58D.jpg
FN-58C,,1816 - 1882,https://scalar.usc.edu/works/decoding-diaspora/media/FN-58C.jpg
FN-59C,,1875 - 1910,https://scalar.usc.edu/works/decoding-diaspora/media/FN-59C.jpg
FN-60A," 23.128994, 113.253250",300,https://scalar.usc.edu/works/decoding-diaspora/media/FN-60A.jpg
FN-60D,"14.1666667, 38.96000000",937 - 977AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-60D.jpg
FN-60C," 37.541290, -77.434769",04-1864,https://scalar.usc.edu/works/decoding-diaspora/media/FN-60C.jpg
FN-61B,"41.012604, 28.959648",1855,https://scalar.usc.edu/works/decoding-diaspora/media/FN-61B.jpg
FN-61A,"38.62727, -90.19789",1898,https://scalar.usc.edu/works/decoding-diaspora/media/FN-61A.jpg
FN-61C," -3.117034, -60.025780",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-61C.jpg
